"","USAcountry","description","year","consumption"
"351","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","2.96"
"352","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"353","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"354","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"355","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"356","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","2.98"
"357","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"358","Albania","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"409","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"410","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"411","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"412","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","6.2"
"413","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"414","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"415","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"416","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"417","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","5.3"
"418","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"419","Andorra","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"470","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"471","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"472","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"473","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.166231027708457"
"474","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"475","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"476","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"477","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"478","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","0.159761758996591"
"479","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"480","Arab World","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"531","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"532","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"533","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"534","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.74"
"535","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"536","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"537","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"538","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"539","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","0.64"
"540","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"541","United Arab Emirates","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"592","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"593","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"594","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"595","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","4.16"
"596","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"597","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"598","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"599","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"600","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","4.43"
"601","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"602","Argentina","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"653","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"654","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"655","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"656","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","2.65"
"657","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"658","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"659","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"660","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"661","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","2.63"
"662","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"663","Armenia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"714","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"715","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"716","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"717","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005",""
"718","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"719","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"720","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"721","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"722","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010",""
"723","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"724","American Samoa","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"775","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"776","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"777","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"778","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","2.45"
"779","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"780","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"781","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"782","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"783","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","2.53"
"784","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"785","Antigua and Barbuda","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"836","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"837","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"838","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"839","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","5.96"
"840","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"841","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"842","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"843","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"844","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","6.13"
"845","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"846","Australia","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"897","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"898","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"899","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"900","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","6.21"
"901","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"902","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"903","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"904","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"905","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","5.89"
"906","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"907","Austria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"958","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"959","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"960","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"961","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.59"
"962","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"963","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"964","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"965","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"966","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","0.99"
"967","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"968","Azerbaijan","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1019","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1020","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1021","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1022","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","3.3"
"1023","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1024","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1025","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1026","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1027","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","2.98"
"1028","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1029","Burundi","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1080","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1081","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1082","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1083","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","6.34"
"1084","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1085","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1086","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1087","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1088","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","5.4"
"1089","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1090","Belgium","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1141","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1142","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1143","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1144","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.92"
"1145","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1146","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1147","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1148","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1149","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","1.01"
"1150","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1151","Benin","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1202","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1203","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1204","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1205","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","3.3"
"1206","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1207","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1208","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1209","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1210","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","3.02"
"1211","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1212","Burkina Faso","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1263","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1264","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1265","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1266","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.043"
"1267","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1268","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1269","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1270","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1271","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","0.044"
"1272","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1273","Bangladesh","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1324","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1325","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1326","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1327","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","5.07"
"1328","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1329","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
"1330","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2008",""
"1331","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2009",""
"1332","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2010","5.06"
"1333","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2011",""
"1334","Bulgaria","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2012",""
"1385","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2002",""
"1386","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2003",""
"1387","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2004",""
"1388","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2005","0.53"
"1389","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2006",""
"1390","Bahrain","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","2007",""
