"","USAcountry","description","year","consumption"
"897","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"898","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"899","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"900","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","19.89"
"901","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"902","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"903","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"904","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"905","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","18.96"
"906","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"907","Austria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"958","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"959","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"960","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"961","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","3.12"
"962","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"963","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"964","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"965","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"966","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","5.07"
"967","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"968","Azerbaijan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1019","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1020","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1021","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1022","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","13.86"
"1023","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1024","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1025","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1026","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1027","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","12.61"
"1028","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1029","Burundi","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1080","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1081","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1082","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1083","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","20.31"
"1084","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1085","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1086","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1087","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1088","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","17.71"
"1089","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1090","Belgium","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1141","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1142","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1143","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1144","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","3.62"
"1145","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1146","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1147","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1148","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1149","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","4"
"1150","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1151","Benin","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1202","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1203","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1204","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1205","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","15.57"
"1206","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1207","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1208","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1209","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1210","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","14.49"
"1211","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1212","Burkina Faso","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1263","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1264","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1265","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1266","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","0.27"
"1267","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1268","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1269","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1270","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1271","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","0.28"
"1272","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1273","Bangladesh","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1324","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1325","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1326","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1327","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","18.24"
"1328","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1329","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"1330","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"1331","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"1332","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","18.02"
"1333","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"1334","Bulgaria","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"1385","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"1386","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"1387","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"1388","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","2.49"
"1389","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"1390","Bahrain","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
